rPRS_homo_PRS,ePRS_homo_PRS,rPRS_hetero_PRS,ePRS_hetero_PRS
1.553134125,4.508369628,1.386269346,-6.714507219
1.137269286,4.136773513,1.471818477,-5.895400851
1.100961999,5.23107532,1.438336838,-6.228790528
1.567006023,-0.01992236,0.960613436,-4.132803209
1.632741705,0.713408844,1.63561955,-3.088301701
0.953748656,-1.635619258,1.270092944,-5.369960108
1.224795065,2.34747963,1.531712867,-5.003553915
1.518826864,0.657415722,1.373054934,-3.451760918
0.490749635,-1.40559426,1.37010735,-3.953514824
1.606492905,2.642931804,2.099113249,-4.57396545
2.008469241,5.048828728,1.483157721,-3.89808822
1.15252536,-4.535676506,1.620173358,-0.615293218
1.292932225,-0.802677399,1.671454299,-3.347650433
1.321899833,-0.328733971,1.508414339,0.553558459
1.291401683,0.444057654,1.769652171,-1.806961457
1.376234494,1.639413175,1.956747473,-0.626290665
2.111988357,2.951327085,1.304422796,-3.298284295
1.952267953,6.578972583,1.757914586,-4.701180689
1.376205204,4.33034614,1.526070681,-2.063692301
0.829945106,3.676358614,1.873447414,-5.272073494
1.898773626,3.460394894,1.40603516,-5.494503715
1.296476911,-2.982161701,1.032684926,-6.472107209
1.497661244,-0.674324076,1.535222501,-6.44886448
1.023139868,1.196838061,1.131765711,-2.494137313
1.764572198,3.672452083,1.495381348,-3.360443857
1.477646082,3.213728929,1.334822422,-2.185721351
1.349271511,0.556333079,1.662993873,-5.564370648
2.574580848,1.408059536,1.94314721,-3.946227114
1.103587487,1.128703161,1.248197034,-4.240746135
1.727542417,-2.985326881,1.530058621,-8.785314497
1.764679309,-0.952528547,0.997511805,-3.481650809
1.046968562,2.708577697,1.512568192,-7.850815552
1.704275238,0.351424261,1.093838515,-5.945283339
1.552723337,4.805371126,1.343953371,-4.750435224
1.182164689,-0.249776217,0.925925,-7.957884698
1.930191074,2.448169431,1.52331624,-6.431947127
1.153735254,2.117510221,1.566904372,-2.300553979
2.13012593,1.4968325,1.501171063,-4.932236912
1.586933104,1.691568273,2.18894651,-4.451774622
1.472915836,3.809952214,1.767193573,-5.90963912
1.337775158,1.848790635,1.840492291,-7.074386261
1.139838014,2.750582174,1.20427288,-6.08409167
1.694680773,4.939599729,2.018091836,-4.93524717
1.572690284,0.617470054,1.258789594,-3.137157918
1.461360003,-0.303798689,2.198928224,-5.724229688
1.918415492,0.822872252,1.348275533,-0.934462566
1.832675644,1.480061189,1.836843176,-1.625124368
1.658445819,1.957048687,1.024975047,-5.250382376
2.005989619,-0.85478866,1.648673186,-2.630844216
2.037833176,-1.141277528,1.547889308,-3.565223827
1.664984529,1.607188961,1.890073826,-8.327743
1.376981457,0.27628642,1.648266958,-7.719658448
1.782379722,1.034527047,1.107057061,-8.187155563
1.327516993,1.478919007,1.59536918,-3.735017093
1.218522633,3.729817277,2.143556856,-5.994690959
2.022741412,0.914604237,1.298970326,-2.775174792
1.430497116,1.984587485,1.236503135,-4.301922214
2.313767261,1.275317733,1.724969334,-6.764770022
1.448898894,3.837741787,1.978888423,-4.945663902
1.069207018,-1.785813605,1.509526387,-2.797166134
1.048034145,4.230090879,1.48856425,-5.033075765
1.246140977,-3.411196602,1.681804812,-0.673328326
1.425592088,0.714156863,1.201679433,-3.820812516
1.292791831,-0.57663601,1.238191183,-9.07282309
1.225321548,0.370403651,1.706090951,-7.672628758
0.892718196,-0.846523378,1.436925196,-4.783854805
1.107920606,0.363761395,1.344724905,-3.094119719
1.58916472,2.072028352,1.043925024,-4.879564749
1.687893293,0.097109332,1.873735221,-4.709199931
1.619644353,0.889950821,1.742471818,-3.855477742
1.586507774,-3.19638384,1.451541345,-4.066731191
2.003969565,2.731377676,2.119250693,-6.787724637
1.269704959,3.790131831,0.857719549,-2.685171296
1.189913977,2.245549193,1.017854309,-5.856321988
1.32139628,2.397917967,1.937710992,-5.578960353
1.313190187,1.017439407,1.406669414,-5.599374159
1.671541324,0.288261161,1.641134031,-5.832251779
0.963812655,1.14748424,1.55449814,-3.055278091
1.821796162,4.151306394,1.155796837,-4.463043777
1.297061468,4.351345787,1.79506415,-6.800403556
1.974231427,-1.22735004,1.307292404,-2.454330261
1.817833632,-0.027717531,1.298363714,-7.349335735
1.869072554,4.356527119,1.773895249,-4.79802337
1.335768402,0.048263995,1.204033804,-4.864287666
1.621683744,-1.464858629,1.297962117,-7.196480405
1.292499415,0.200180276,1.073374596,-5.936132891
1.673666733,-0.270502393,1.069403914,-7.434598607
1.881470447,0.170214926,1.364774186,-4.626878906
1.722456306,0.584744523,1.370734673,-6.430141396
1.509473888,0.980658285,1.74846318,-4.368824801
1.96587112,-0.862803581,1.82293004,-9.122928619
1.405004716,3.007228552,1.403330869,-5.634258064
1.423046162,0.274634866,1.379837319,-9.85501228
2.029312484,1.71947559,0.874088541,-2.335853527
1.214861433,4.330079575,1.50555362,-6.13905965
1.008308783,1.320609379,1.24095758,-4.082161331
1.396623257,3.675058888,1.171338386,-2.757583388
1.60714683,2.97915512,1.442330036,-4.04022712
0.897623509,-1.361336876,1.408665078,-2.668033139
1.683971725,3.252320091,1.332091222,-4.84128561
1.92026935,-1.16464402,2.058782619,-7.50368225
1.692798882,-0.421843771,1.758630815,-3.765347629
1.448942361,0.49054954,1.383700968,-1.115791461
1.149850052,3.15046843,1.962655326,-7.50113014
1.412180871,-0.191795699,1.766381811,-4.825638522
1.039379116,2.910607378,1.543969498,-8.272594479
1.57803978,2.250127707,1.893142144,-6.085743145
1.045926032,1.093852656,1.300641674,-6.74280698
1.432368999,1.125169142,1.926846382,-2.463336833
1.657066599,-0.668286473,1.798057046,-3.291959077
1.270831454,-1.741766251,1.094215928,-2.467383653
2.016316612,2.028455917,1.931843868,-5.358141867
2.351215171,-0.540065553,1.858691212,-5.449787054
1.577939262,0.953894686,1.243263995,-6.197926092
1.688182046,-0.354177461,1.640751688,-1.467016756
1.29869692,2.280274417,1.908030311,-5.202498544
1.35683325,-0.268052426,1.498321765,-8.893226598
1.739293498,2.030955778,2.026202571,-5.172078275
0.700243009,-0.407598237,1.465923882,-7.405172713
1.515083049,-1.593692604,1.763144001,-5.528477696
1.611708875,2.3608728,1.433311158,-7.038627232
1.258912692,3.55098484,2.410462155,-2.710706341
1.560938546,0.104107556,1.376649276,-1.671458288
1.774703159,-0.937001012,2.330988254,-7.083972928
1.395924416,1.191381497,1.780001788,-2.737214457
1.45276945,0.70784497,1.5182455,-5.291867448
1.910588841,3.499819928,1.278294542,-4.056729862
0.681959665,-0.479431998,1.656414029,-4.032609853
1.665660623,3.894770899,2.038982577,-6.798026938
1.409615884,0.786534726,1.807217783,-10.01417422
1.886014054,-0.613271561,0.785876559,-6.111596647
1.437786584,-1.802534801,1.500346141,-4.97657122
1.739679365,1.899519789,1.492316862,-8.526254219
1.360108891,2.064159017,1.597463784,-4.868717374
1.88257646,3.206214623,1.926005673,-6.852277086
1.645697467,2.552677569,1.907291783,-5.299842095
1.008384753,0.749851195,1.753737117,-6.691516789
1.54002946,2.879765098,1.637969518,-3.726770098
1.737033057,-1.347095249,1.156505238,-6.381734262
1.304118915,3.299887282,1.238984485,-7.22438735
1.195620215,-0.95279843,1.278847322,-5.719839546
1.919460161,0.812786367,1.344890785,-5.104770285
1.43070916,3.701201492,1.762105667,-5.086049527
1.332551697,2.326715502,1.089510105,-4.485478974
1.418264723,-0.434640244,2.063755633,-4.671326328
2.299290769,3.948806104,1.763384267,-2.541628413
1.601365167,0.885932323,1.495022285,-4.591296793
1.5739395,0.835694049,1.324874454,-4.01488832
1.905111982,-1.822689517,1.582259442,-5.948004086
1.364179417,1.126007383,1.587396015,-4.296481717
1.444947781,-0.115719928,1.70987716,-7.77948653
1.919789351,2.531744595,0.657632022,-7.616511268
1.36468694,1.964133708,1.18568354,-3.277231946
1.239600164,1.59093762,1.885783977,-6.955976321
1.955907679,1.181780446,2.036189258,-3.783801197
0.869168715,1.678233391,2.076100121,-0.448919359
1.255258746,4.7442999,1.619703697,-2.455269676
1.202857763,3.213987807,1.461848348,-5.079813847
1.709524723,4.662944242,1.965021062,-3.823149906
1.232931797,1.644038353,1.263446703,-2.098113956
1.644131329,2.339281471,1.340367596,-6.098570813
1.710385233,-0.436881775,1.381415811,-2.03975823
1.595004831,3.274397987,1.638746151,-6.328353151
2.018877294,2.032474049,1.726690645,-5.171112537
1.721352784,-0.090310577,1.354794213,-4.168144571
1.857446406,0.174112238,1.707758972,-4.83841687
2.03114161,3.537785252,1.646147774,-4.498195963
1.516689846,-1.537881989,1.401332826,-10.27865924
1.709258645,1.100601263,1.076474306,-7.702740947
1.588718853,3.867823045,1.775596792,-0.304408171
2.324439187,4.18747397,1.469826336,-1.689699006
1.47795418,0.244994427,1.448079641,-4.483475563
1.558832822,1.548786121,1.541088337,-5.86481126
1.803916873,0.484809346,2.199189193,-7.875628449
2.042395019,-0.405201301,1.406774184,-6.519593323
1.118408826,3.823374218,1.676186436,-4.851224144
1.578174824,0.695261057,1.657125224,-2.911013764
1.085185461,0.761655728,1.711072551,-5.757802925
1.752599651,0.950821564,2.023539032,-4.994472016
1.615741585,0.362175912,1.559161166,-3.555159715
1.802182757,0.457597264,1.276987981,-4.906172147
1.521052309,0.598457614,2.234850044,-3.019984474
1.75003403,2.868314434,1.866696365,-3.655639462
1.54582482,1.442145201,1.86314065,-1.685778677
1.789041334,-2.181958073,1.317231706,-8.519103823
2.080552628,-0.39985072,2.135052734,-0.503315302
1.583580187,-0.309236526,1.273110867,-5.47457543
1.747801567,4.642195129,1.691670512,-2.834278159
1.217968759,1.844453325,1.887026494,-2.013353749
1.602224792,-0.247988507,1.743354098,-5.235874476
1.795282335,2.089094065,1.264989772,-3.948048897
1.507137929,1.403650674,1.606246134,-3.216996263
1.807250498,-0.568741535,1.412189245,-6.44749957
1.286863947,0.979229744,1.855410184,-4.62945826
1.741249453,1.90422274,2.072771645,-5.172515782
0.976400068,4.245941099,1.543553234,-8.824307963
1.460787352,0.444174405,2.542241658,-1.063480556
1.290425124,-0.065994205,1.598021387,-5.13131289
1.438566989,3.789497426,1.994948519,-1.792729456
1.220843715,6.18584571,1.286410437,-3.73303672