rPRS_gamma_05,ePRS_gamma_05,rPRS_gamma_1,ePRS_gamma_1,rPRS_gamma_15,ePRS_gamma_15
2.272609511,-3.833575201,1.05615487,-11.23454775,1.574419993,-17.93004781
1.908222337,-7.367640505,1.916655703,-13.66827618,1.901166076,-23.37365701
1.197137983,-5.353395723,1.851977327,-12.65024171,1.477855716,-19.02174834
1.619864726,-8.171844931,1.847317143,-15.89656334,1.969383677,-23.83591293
0.768792043,-7.121141397,1.033778737,-16.27533032,0.523820945,-24.14746204
1.880080148,-6.587747327,2.430249767,-12.31359381,1.921373817,-21.34293908
1.456130205,-7.753648862,1.092300278,-17.3697837,1.86190448,-28.27436038
1.728088954,10.9243421,1.230320086,14.97499561,2.051169638,22.11269799
2.027451331,-7.507820722,1.237392755,-14.95399514,2.356358834,-25.21488451
0.965304538,-5.719104117,0.611348408,-14.26709803,0.401886017,-22.1238818
1.599533858,-8.252692025,2.078366438,-15.89760548,2.139506022,-26.49557617
1.764258494,-7.647279656,1.27548801,-16.11043393,2.647164082,-22.77920458
1.498645702,-5.639077455,2.129864432,-15.39327648,1.814577439,-22.71258982
1.925262296,-8.258468149,1.804696398,-14.62643917,2.393094056,-22.11096444
1.943535809,-8.534937863,2.31383108,-18.10775794,1.491611958,-24.16360113
1.105268943,-4.71695354,0.774256298,-13.23212848,0.919209004,-18.99185218
1.681596834,-5.092387181,1.538232741,-12.48553379,1.356227199,-20.19193499
1.343530398,-6.773705585,1.084783568,-14.69493005,1.804737197,-28.21514629
1.449564774,-4.157624078,1.401302762,-10.32075605,1.347563085,-18.70286779
1.235533622,-7.53091542,2.022964672,-12.57258491,1.457337321,-20.00365632
1.746899268,-7.230781214,1.430465154,-12.49970416,1.702259654,-22.84143292
1.499836577,-6.299853455,1.219400941,-12.79591613,1.396707728,-20.70946148
1.797341703,-6.923272859,1.754707361,-14.84853224,1.721721679,-25.26442121
1.506482694,-7.757854746,0.737565692,-16.70175311,1.10567913,-26.14049285
1.3428282,-7.228559194,1.284286285,-14.10896025,1.287544986,-22.17771052
1.376251146,-6.955292878,1.51645167,-16.00641725,1.687311625,-23.1829066
1.807461218,-5.557434234,1.826287296,-15.30359175,2.375543254,-23.99235588
1.759761862,-8.003734103,1.035947674,-15.38561406,1.52785626,-24.96338879
1.822622826,-7.751492531,1.635945868,-16.66385228,1.613234161,-22.56653358
1.699532901,-5.664272368,1.355744237,-15.58564844,1.704329752,-23.95077709
1.409263432,-4.695511432,1.707454972,-10.4336499,0.987102749,-16.62618615
1.344088871,9.667322455,1.127081653,19.58779628,0.145615549,25.85222721
1.37635636,-6.47604271,1.396526602,-12.67665807,0.97198601,-21.31054835
1.317012846,9.41199481,1.742965125,17.4025076,2.080864214,24.18070499
1.780774289,-7.621346049,1.707518233,-13.60631934,2.188688742,-22.03857763
1.328998108,7.723480045,0.998412733,14.33942324,0.928385285,22.36612961
1.57934573,-6.390361632,0.650414374,-14.37486673,1.134055639,-21.90740355
1.410457977,-4.936839987,1.686129722,-13.21879764,2.118656057,-22.23430569
1.798368005,-4.831568874,2.227309092,-10.51624903,1.724326435,-17.14274301
1.391734204,9.207245148,1.120443505,19.22130713,0.939131588,29.63826577
1.17009271,-6.982885523,1.74089971,-14.03288624,2.164471142,-20.25955626
1.591073322,-5.483360476,1.55997151,-15.81703824,2.019478094,-22.65057158
1.509695128,-7.961905698,0.893848121,-13.65371232,0.654053395,-22.25957388
0.971822816,-5.494293916,1.251229878,-12.43491523,1.648952085,-21.64293366
1.519300456,9.327304338,1.766033863,17.39591883,1.906957691,26.60213403
1.950602729,10.04712522,1.213459768,14.06267397,1.388242693,21.60195964
1.468827432,-6.597323199,1.394763771,-14.03722712,1.82724078,-21.158117
1.653536191,-6.569005937,1.454148017,-13.65302475,2.587527412,-19.87188302
2.068190773,-7.660902869,1.673404377,-11.89049174,2.098019468,-19.48155595
0.884016581,9.796041125,1.778152546,20.03712888,0.709137477,25.81075657
1.728794274,9.089830222,2.241770051,14.49940341,2.107605477,19.08319876
2.455093261,-6.331011414,1.856682908,-10.53355572,1.140838878,-17.57200146
1.609465416,-3.906482312,1.51848916,-14.03211006,0.580498916,-19.51818202
1.298842583,-6.187268085,1.244271367,-12.6519994,1.65054079,-20.40437309
1.79983261,-5.465074028,1.028971897,-13.77761946,1.969538489,-19.76030637
1.766367175,-6.792528127,1.805187726,-16.8828405,0.788100647,-24.94686128
1.784025322,-5.495887326,1.520737363,-9.747862435,1.460023532,-14.93151734
1.246559745,-4.503881968,1.412906044,-10.92665471,1.666831774,-14.6225721
1.203733511,7.071223801,1.058056829,13.07762044,0.887911322,19.18214543
1.105318424,-5.836348322,0.888077113,-11.8705331,0.863468567,-18.91230138
1.676296221,-8.163945554,1.321095327,-18.73189003,1.50328557,-27.72896014
0.864577302,-5.069273116,1.229292545,-14.07766244,1.243675759,-20.14646926
1.382709116,-7.7147803,1.454330168,-19.42348215,0.932024375,-28.49243576
1.997762851,-5.834507181,2.091077591,-16.42303464,1.855732066,-26.6981191
1.319369358,10.29812877,1.002666057,16.79211916,1.31696869,26.26410095
0.85524436,-7.258872094,1.744688798,-12.44929104,1.567272107,-21.89045827
1.219690988,-5.73515316,0.414470561,-13.23580674,1.514959599,-21.1363781
1.663753133,-4.322956428,2.202729917,-11.73245179,2.271661139,-17.45848975
1.924890857,-8.50540108,2.075737436,-16.53846466,2.181267881,-25.52455358
1.032691146,-6.993374138,1.890642375,-18.31031572,1.150267377,-24.93618082
1.107787229,13.20983187,1.815312559,17.75445632,1.36379919,28.31468408
1.70319043,-5.771147806,0.700902703,-16.21149874,0.943561644,-25.96743786
1.207219859,-5.371830331,1.157873629,-12.60687273,1.71273745,-19.18919956
1.575779752,-4.888134512,2.193502118,-15.84588156,0.764387276,-21.73073998
1.497541467,10.49361233,1.698445414,20.60846728,1.725906709,28.46098888
2.473148615,-8.004682372,3.313787855,-10.6824782,3.679343686,-17.99656266
2.172166889,-6.768315353,0.431441179,-11.08392594,0.505733705,-20.69232751
1.528363402,-6.286576734,0.893406457,-12.77904354,1.34723701,-17.75152572
1.286642402,-5.444483881,1.634310933,-12.69868894,1.332970354,-18.46914365
1.554228821,-6.813493254,1.520486885,-16.98652138,1.795702956,-25.5474634
1.591109568,-5.477661166,1.831436932,-11.43023369,1.649235835,-18.74316207
1.216960911,-6.572387825,1.290919153,-12.90683639,1.56201008,-20.42272696
1.485567322,-6.144902867,0.614571112,-16.57704967,0.599008323,-25.32476039
1.121294613,-7.089553399,1.53358609,-12.47596558,0.897925038,-21.36805156
1.316142377,-8.522219063,1.362390277,-17.30549982,0.974484142,-25.95034387
1.231115384,10.44737728,1.701543293,17.13737959,0.845965393,25.10649291
1.514985805,-7.887410437,1.499553975,-12.23239336,0.748928277,-23.74701368
1.950920008,-8.143208943,1.56382407,-15.18430274,2.587880513,-25.74374362
1.585312803,-4.895915752,0.785160829,-12.96605635,-0.054131681,-19.13400592
1.404102943,9.725931076,1.827240322,16.03652968,1.137038714,23.35196076
1.692127414,-7.336580184,1.783612536,-14.88865326,1.471668598,-19.83041184
1.304172239,-4.142384787,1.097468867,-9.819281648,1.354001449,-14.76787875
1.731375567,9.470808956,1.435371439,14.35650246,1.661550701,22.54179287
1.43224293,-4.38736973,1.478365087,-12.38349756,1.99510605,-15.90766815
1.53819562,-6.279281465,1.754542558,-13.63496392,2.667768656,-19.9929881
1.4783582,-6.369764786,2.088209996,-14.43664364,1.603919286,-21.22386426
1.275506902,-4.64100649,1.959925951,-9.740773328,1.205310965,-17.33920358
1.258064432,-4.992195511,1.917224369,-12.75623109,1.858214781,-19.85334063
1.196119603,8.928220683,2.028981615,18.97488238,2.401017773,26.39241964
1.107728701,-7.570580056,1.475602601,-16.49727643,1.16890376,-24.77044753
1.352828093,-5.704498515,0.885414501,-13.37010267,-0.191635237,-18.6310732
1.94250712,-5.977315601,1.162266001,-15.56125175,1.750043328,-22.87897577
2.091787505,-7.812480911,1.518176317,-16.88100086,1.524142777,-26.46082117
1.589737623,8.371496712,1.3650546,14.1221054,1.444894661,18.83240892
1.710421099,-4.953818266,2.379474974,-14.10730116,1.773829773,-21.98331427
2.499679326,-5.642296796,2.333064309,-13.08503501,2.629637884,-18.12106215
1.50665004,-8.854907658,1.014011657,-17.67010328,0.601698255,-26.00936376
1.389900514,-6.168136743,2.066213092,-15.77828916,1.112018512,-24.34335039
1.56384693,-8.002882362,1.820693393,-16.23290454,1.261275101,-25.12560588
2.085446309,-7.260054565,0.989215548,-19.12125715,1.675152951,-27.4390734
1.241956516,-6.327054902,1.841093761,-11.95614624,1.37232624,-19.00946
1.963796432,10.64902341,1.649191065,16.91784981,1.509684106,24.55594843
1.696682096,-5.447039286,2.273934935,-12.48233405,2.301716718,-19.87752083
1.173925569,-5.277574837,1.371611338,-13.49509132,1.159716963,-20.13317247
1.676950585,-6.982536983,1.229443794,-14.96065965,1.339807325,-21.84093584
1.070420207,-5.848546014,1.588920933,-14.5083319,0.855004775,-23.58839082
1.854044517,-5.819788896,1.849316704,-10.5253898,1.489066283,-17.18303911
1.828631508,-8.879160761,2.455595174,-16.74684325,2.358198123,-24.74021879
1.51262176,-7.031474137,1.135918301,-14.48048733,0.375085181,-20.48830071
1.286355869,7.044388414,1.652255348,12.63340376,1.372524771,18.77597608
1.600404968,-5.679750927,1.693696772,-12.72957722,1.455182381,-20.62521125
1.547802149,-6.833389604,0.849874265,-15.3084715,1.419676524,-22.78099229
1.576739852,8.243220035,1.150504108,14.50282184,1.752420149,22.99743576
1.866192111,-5.445464507,1.48275194,-15.95999032,2.019691984,-22.35361831
0.44406629,-5.700200154,1.083854127,-11.91904565,0.474086128,-17.44385027
0.657875293,-4.309728856,1.454176807,-11.16656125,0.372778652,-17.22190508
1.753707986,-3.78887104,2.429350581,-11.28419392,2.402238659,-17.81105529
2.003550075,10.1813459,1.852683838,20.0536457,2.584724376,25.94227032
1.719330221,10.7485854,1.402554678,16.09193015,1.576424136,23.50500071
1.142278577,-8.050245133,0.459738053,-15.17934522,1.361577996,-24.48522955
1.497955413,-6.199824837,1.494979122,-13.34206316,1.911464109,-19.90925755
1.414270763,-5.117298372,1.759429479,-13.88005073,0.266956693,-21.07716054
2.205411387,8.464446486,1.458535494,16.81762929,2.586883133,24.34348958
1.271711973,-6.543382253,1.892460341,-16.32996224,0.8721571,-23.49421516
1.341696256,-5.797771787,1.823384942,-13.02773533,2.163265612,-20.76492639
1.412565756,-5.87193692,0.657868956,-15.47308436,1.145508514,-24.05957649
1.153760525,-8.1752946,1.480187034,-15.47029976,1.376563994,-21.45006316
2.251313938,-5.215927027,2.141414978,-11.54529809,2.64375165,-18.15848211
1.911925474,-6.471790007,1.832707994,-13.4913516,2.346023748,-22.98866347
1.332352233,8.352912952,2.781799239,17.18424793,2.538510227,22.76157763
1.323222179,-6.339311169,1.224297428,-10.60616263,1.335898486,-17.64178113
0.866456227,-8.784056455,1.505051905,-14.64365828,0.935299195,-22.88715647
1.584738216,-6.045975362,1.612175431,-15.36060218,1.680775211,-22.99098047
1.795012079,-7.863119742,2.585543739,-16.59233504,2.659372564,-24.41470193
1.409755193,-7.778920651,1.59612899,-18.78692889,1.512547155,-27.52003902
2.453440738,-6.408424418,1.564378464,-15.64550137,1.454543122,-24.77191608
1.340370764,-7.21432178,0.70131647,-12.6999781,0.482120193,-20.19289755
1.57191205,-6.473918126,1.278172417,-15.38191136,1.756207386,-24.98364339
1.572035897,-7.133293684,1.269062146,-12.76232035,1.485245543,-22.43963293
1.393886747,-5.527072059,1.307068623,-12.27359156,1.612777757,-19.62916538
1.283900732,-6.619320905,1.279597847,-17.86781353,1.002039911,-28.35469758
1.438421175,-10.66515112,1.710906296,-17.95454443,2.10191043,-28.238326
1.501739468,8.530179384,2.405978705,16.60372852,2.370016333,24.97520158
1.447815124,-5.463174851,1.268336013,-11.88159858,1.60546668,-17.21693814
1.845766552,-9.009830491,1.469369338,-16.30015578,2.244623032,-25.79588722
1.50858946,9.281854443,1.914670277,19.39547483,1.522925659,28.22269212
1.506842852,-6.293924622,1.615461231,-13.34954791,2.025433584,-20.66096266
1.675738889,10.46230547,1.942966009,16.51157185,2.401364565,23.78991787
1.253986597,-6.171412149,1.556975873,-13.87935609,1.780957678,-20.88226347
0.918458549,-4.852125616,1.047602612,-10.10294385,1.322688913,-16.78849076
1.441861217,-6.393584552,2.692748742,-14.02119771,2.827283382,-21.8139054
1.449929899,-6.593813977,1.788133766,-14.22941714,0.924492498,-21.64049996
1.361466787,-6.247967557,1.961446717,-11.29882853,2.094618271,-22.96745204
2.326185842,-6.172431719,2.068328038,-15.3012072,2.455260799,-23.12520169
1.791748208,-7.96119586,1.409815905,-13.84757888,0.880072655,-21.86920209
1.555534151,-6.624112632,0.725026256,-17.40127685,0.691860369,-26.30946552
2.005726039,8.785478119,1.085066075,14.28732859,1.463538487,18.90059539
1.127294474,-4.811248645,1.614041791,-13.53709641,1.153226257,-20.56816193
1.500560431,-7.47852268,2.074238399,-16.00357396,2.336405492,-24.49336949
1.221086386,9.084791272,0.817851511,13.49284321,1.936046284,20.73851037
1.635449182,-6.067922789,1.194408543,-13.92953182,1.690774302,-21.97786384
1.616150944,-5.70949845,1.330152607,-7.312173256,0.368531574,-15.59811834
2.002633005,7.218977311,1.651351351,14.08462001,1.951963011,19.38244917
1.283858714,-6.353360751,2.107412914,-14.82810976,1.425679706,-21.96944917
1.342912614,7.780160325,1.33971964,15.9929852,0.287468953,22.6249149
1.191893837,-7.278065646,-0.049266277,-14.31315649,0.383745435,-23.13924172
1.425617772,-5.796030661,1.595670048,-12.4513274,2.276983124,-23.17540513
0.7340406,-8.188099668,0.757832152,-14.32341664,0.438477226,-21.66137494
1.801901602,-5.655077037,2.401705959,-13.2615559,2.57267394,-21.68817908
1.812419653,11.03847236,2.231333887,18.61743781,1.417023138,24.65342881
1.703540655,-6.890044807,1.640868129,-18.91032465,1.176499321,-29.5561957
1.614703628,-4.104585134,1.530793924,-10.04048231,1.589985298,-16.79589216
1.992841546,-6.347441461,1.251064644,-15.40138342,0.676086236,-23.59976876
2.093140264,9.319811007,1.581126899,17.00121468,2.564127267,25.97277459
1.41742503,9.821288623,0.448978081,15.64983524,1.077102489,22.80327841
1.257940961,-5.458473636,1.751739007,-12.18491702,1.388780001,-19.19699927
1.659377189,-4.91976234,1.398645483,-9.032252555,2.503077707,-16.24025387
1.518284904,-5.084561518,1.496611975,-12.83386793,0.940497586,-21.60824217
1.897392376,-8.038395315,1.95637932,-16.72029946,2.395812569,-26.25047014
1.616341589,-4.084742439,1.861390065,-9.741052507,1.194753268,-16.7087456
1.844043055,11.22646271,2.242101429,17.16763399,2.746669457,25.20154728
1.855697807,-4.918967,1.329410888,-14.01152413,1.574792137,-24.07348643
2.213625669,9.996054852,3.20523424,14.97325065,3.128603633,21.26433245
1.078784383,-6.333383599,1.533294191,-13.47495998,2.237465794,-21.90634648
1.492985158,-6.509702594,0.904252076,-15.69549655,0.290127237,-23.27616812
1.126332186,-5.528983963,1.624210062,-14.08109049,1.145759223,-23.5968952
1.530631153,-7.923524924,2.379751437,-15.98323761,1.143128859,-22.62056648
1.454030365,-4.034760354,1.121897027,-11.12491952,1.097596705,-17.38258078
1.181494605,-6.077109908,1.6535258,-15.54044224,1.33133918,-20.96938032
2.429659849,-4.737831478,1.215964305,-13.23633392,1.566222359,-20.55760636